TPropertyName	TPropertyValue	TThumbPath	TLabel	TCategory	TCategory2	TPath	TParentDir	TTags	TDescription	TParameter	TComment
control_v11e_sd15_ip2p.pth	control_v11e_sd15_ip2p.pth		control_v11e_sd15_ip2p.pth	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11e_sd15_ip2p.pth	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
control_v11e_sd15_shuffle.pth	control_v11e_sd15_shuffle.pth		control_v11e_sd15_shuffle.pth	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11e_sd15_shuffle.pth	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
control_v11f1e_sd15_tile.pth	control_v11f1e_sd15_tile.pth		control_v11f1e_sd15_tile.pth	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11f1e_sd15_tile.pth	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
control_v11f1p_sd15_depth.pth	control_v11f1p_sd15_depth.pth		control_v11f1p_sd15_depth.pth	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11f1p_sd15_depth.pth	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
control_v11p_sd15s2_lineart_anime.pth	control_v11p_sd15s2_lineart_anime.pth		control_v11p_sd15s2_lineart_anime.pth	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11p_sd15s2_lineart_anime.pth	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
control_v11p_sd15_canny.pth	control_v11p_sd15_canny.pth		control_v11p_sd15_canny.pth	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11p_sd15_canny.pth	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
control_v11p_sd15_inpaint.pth	control_v11p_sd15_inpaint.pth		control_v11p_sd15_inpaint.pth	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11p_sd15_inpaint.pth	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
control_v11p_sd15_lineart.pth	control_v11p_sd15_lineart.pth		control_v11p_sd15_lineart.pth	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11p_sd15_lineart.pth	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
control_v11p_sd15_mlsd.pth	control_v11p_sd15_mlsd.pth		control_v11p_sd15_mlsd.pth	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11p_sd15_mlsd.pth	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
control_v11p_sd15_normalbae.pth	control_v11p_sd15_normalbae.pth		control_v11p_sd15_normalbae.pth	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11p_sd15_normalbae.pth	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
control_v11p_sd15_openpose.pth	control_v11p_sd15_openpose.pth		control_v11p_sd15_openpose.pth	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11p_sd15_openpose.pth	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
control_v11p_sd15_scribble.pth	control_v11p_sd15_scribble.pth		control_v11p_sd15_scribble.pth	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11p_sd15_scribble.pth	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
