TPropertyName	TPropertyValue	TThumbPath	TLabel	TCategory	TCategory2	TPath	TParentDir	TTags	TDescription	TParameter	TComment
Aissist-neg.pt	Aissist-neg.pt		Aissist-neg.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\Aissist-neg.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
AuroraNegative.pt	AuroraNegative.pt		AuroraNegative.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\AuroraNegative.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
bad-hands-5.pt	bad-hands-5.pt		bad-hands-5.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\bad-hands-5.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
badquality.pt	badquality.pt		badquality.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\badquality.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
bad_prompt.pt	bad_prompt.pt		bad_prompt.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\bad_prompt.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
bad_prompt_version2.pt	bad_prompt_version2.pt		bad_prompt_version2.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\bad_prompt_version2.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
EasyNegative.safetensors	EasyNegative.safetensors		EasyNegative.safetensors	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\EasyNegative.safetensors	embeddings	embeddings	=> LoadfromJson(filePath);		
EasyNegativeV2.safetensors	EasyNegativeV2.safetensors		EasyNegativeV2.safetensors	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\EasyNegativeV2.safetensors	embeddings	embeddings	=> LoadfromJson(filePath);		
FastNegativeV2.pt	FastNegativeV2.pt		FastNegativeV2.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\FastNegativeV2.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
KHFB.pt	KHFB.pt		KHFB.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\KHFB.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
nartfixer.pt	nartfixer.pt		nartfixer.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\nartfixer.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
negative_hand-neg.pt	negative_hand-neg.pt		negative_hand-neg.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\negative_hand-neg.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
nfixer.pt	nfixer.pt		nfixer.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\nfixer.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
nfixernext.pt	nfixernext.pt		nfixernext.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\nfixernext.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
ng_deepnegative_v1_75t.pt	ng_deepnegative_v1_75t.pt		ng_deepnegative_v1_75t.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\ng_deepnegative_v1_75t.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
pixelart-1.pt	pixelart-1.pt		pixelart-1.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\pixelart-1.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
pixelart-2.pt	pixelart-2.pt		pixelart-2.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\pixelart-2.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
pixelart-3.pt	pixelart-3.pt		pixelart-3.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\pixelart-3.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
pixelart-hard.pt	pixelart-hard.pt		pixelart-hard.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\pixelart-hard.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
pixelart-soft.pt	pixelart-soft.pt		pixelart-soft.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\pixelart-soft.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
re-badprompt.safetensors	re-badprompt.safetensors		re-badprompt.safetensors	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\re-badprompt.safetensors	embeddings	embeddings	=> LoadfromJson(filePath);		
verybadimagenegative_v1.3.pt	verybadimagenegative_v1.3.pt		verybadimagenegative_v1.3.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\verybadimagenegative_v1.3.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
wdbadprompt.pt	wdbadprompt.pt		wdbadprompt.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\wdbadprompt.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
wd_clearfixerv1.pt	wd_clearfixerv1.pt		wd_clearfixerv1.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\wd_clearfixerv1.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
wd_colorfixerv1.pt	wd_colorfixerv1.pt		wd_colorfixerv1.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\wd_colorfixerv1.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
sd3.5_large_controlnet_blur.safetensors	sd3.5_large_controlnet_blur.safetensors		sd3.5_large_controlnet_blur.safetensors	sd	sd35-controlnet	D:\_Apps.AI.data\sd\sd35-controlnet\sd3.5_large_controlnet_blur.safetensors	sd35-controlnet	sd35-controlnet	=> LoadfromJson(filePath);		
sd3.5_large_controlnet_canny.safetensors	sd3.5_large_controlnet_canny.safetensors		sd3.5_large_controlnet_canny.safetensors	sd	sd35-controlnet	D:\_Apps.AI.data\sd\sd35-controlnet\sd3.5_large_controlnet_canny.safetensors	sd35-controlnet	sd35-controlnet	=> LoadfromJson(filePath);		
sd3.5_large_controlnet_depth.safetensors	sd3.5_large_controlnet_depth.safetensors		sd3.5_large_controlnet_depth.safetensors	sd	sd35-controlnet	D:\_Apps.AI.data\sd\sd35-controlnet\sd3.5_large_controlnet_depth.safetensors	sd35-controlnet	sd35-controlnet	=> LoadfromJson(filePath);		
BRR_flatanime.safetensors	BRR_flatanime.safetensors		BRR_flatanime.safetensors	animate-diff	lora	D:\_Apps.AI.data\sd\animate-diff\lora\BRR_flatanime.safetensors	animate-diff\lora	lora	=> LoadfromJson(filePath);		
squirt.safetensors	squirt.safetensors		squirt.safetensors	animate-diff	lora	D:\_Apps.AI.data\sd\animate-diff\lora\squirt.safetensors	animate-diff\lora	lora	=> LoadfromJson(filePath);		
animateDiffMotionLora_v10High.safetensors	animateDiffMotionLora_v10High.safetensors		animateDiffMotionLora_v10High.safetensors	animate-diff	model	D:\_Apps.AI.data\sd\animate-diff\model\animateDiffMotionLora_v10High.safetensors	animate-diff\model	model	=> LoadfromJson(filePath);		
animateDiffMotionLora_v10HighLora.safetensors	animateDiffMotionLora_v10HighLora.safetensors		animateDiffMotionLora_v10HighLora.safetensors	animate-diff	model	D:\_Apps.AI.data\sd\animate-diff\model\animateDiffMotionLora_v10HighLora.safetensors	animate-diff\model	model	=> LoadfromJson(filePath);		
animatediffMotion_sdxlV10Beta.safetensors	animatediffMotion_sdxlV10Beta.safetensors		animatediffMotion_sdxlV10Beta.safetensors	animate-diff	model	D:\_Apps.AI.data\sd\animate-diff\model\animatediffMotion_sdxlV10Beta.safetensors	animate-diff\model	model	=> LoadfromJson(filePath);		
animatediffNSFWMotion_cowgirlBehind.safetensors	animatediffNSFWMotion_cowgirlBehind.safetensors		animatediffNSFWMotion_cowgirlBehind.safetensors	animate-diff	model	D:\_Apps.AI.data\sd\animate-diff\model\animatediffNSFWMotion_cowgirlBehind.safetensors	animate-diff\model	model	=> LoadfromJson(filePath);		
animatediffNSFWMotion_doggystyleBehindV1.safetensors	animatediffNSFWMotion_doggystyleBehindV1.safetensors		animatediffNSFWMotion_doggystyleBehindV1.safetensors	animate-diff	model	D:\_Apps.AI.data\sd\animate-diff\model\animatediffNSFWMotion_doggystyleBehindV1.safetensors	animate-diff\model	model	=> LoadfromJson(filePath);		
animatediffV3Models_adapterFP16.safetensors	animatediffV3Models_adapterFP16.safetensors		animatediffV3Models_adapterFP16.safetensors	animate-diff	model	D:\_Apps.AI.data\sd\animate-diff\model\animatediffV3Models_adapterFP16.safetensors	animate-diff\model	model	=> LoadfromJson(filePath);		
animatediffV3Models_adapterFP32.safetensors	animatediffV3Models_adapterFP32.safetensors		animatediffV3Models_adapterFP32.safetensors	animate-diff	model	D:\_Apps.AI.data\sd\animate-diff\model\animatediffV3Models_adapterFP32.safetensors	animate-diff\model	model	=> LoadfromJson(filePath);		
animatediffV3Models_motionModuleFP16.safetensors	animatediffV3Models_motionModuleFP16.safetensors		animatediffV3Models_motionModuleFP16.safetensors	animate-diff	model	D:\_Apps.AI.data\sd\animate-diff\model\animatediffV3Models_motionModuleFP16.safetensors	animate-diff\model	model	=> LoadfromJson(filePath);		
animatediffV3Models_motionModuleFP32.safetensors	animatediffV3Models_motionModuleFP32.safetensors		animatediffV3Models_motionModuleFP32.safetensors	animate-diff	model	D:\_Apps.AI.data\sd\animate-diff\model\animatediffV3Models_motionModuleFP32.safetensors	animate-diff\model	model	=> LoadfromJson(filePath);		
animatediffV3Models_sparsectrlRGBFP16.safetensors	animatediffV3Models_sparsectrlRGBFP16.safetensors		animatediffV3Models_sparsectrlRGBFP16.safetensors	animate-diff	model	D:\_Apps.AI.data\sd\animate-diff\model\animatediffV3Models_sparsectrlRGBFP16.safetensors	animate-diff\model	model	=> LoadfromJson(filePath);		
animatediffV3Models_sparsectrlRGBFP32.safetensors	animatediffV3Models_sparsectrlRGBFP32.safetensors		animatediffV3Models_sparsectrlRGBFP32.safetensors	animate-diff	model	D:\_Apps.AI.data\sd\animate-diff\model\animatediffV3Models_sparsectrlRGBFP32.safetensors	animate-diff\model	model	=> LoadfromJson(filePath);		
animatediffV3Models_sparsectrlscribble.safetensors	animatediffV3Models_sparsectrlscribble.safetensors		animatediffV3Models_sparsectrlscribble.safetensors	animate-diff	model	D:\_Apps.AI.data\sd\animate-diff\model\animatediffV3Models_sparsectrlscribble.safetensors	animate-diff\model	model	=> LoadfromJson(filePath);		
povHandjobMotionLora_beta1.safetensors	povHandjobMotionLora_beta1.safetensors		povHandjobMotionLora_beta1.safetensors	animate-diff	model	D:\_Apps.AI.data\sd\animate-diff\model\povHandjobMotionLora_beta1.safetensors	animate-diff\model	model	=> LoadfromJson(filePath);		
shatterAnimatediff_v10.safetensors	shatterAnimatediff_v10.safetensors		shatterAnimatediff_v10.safetensors	animate-diff	model	D:\_Apps.AI.data\sd\animate-diff\model\shatterAnimatediff_v10.safetensors	animate-diff\model	model	=> LoadfromJson(filePath);		
penisV2.pt	penisV2.pt		penisV2.pt	models	adetailer	D:\_Apps.AI.data\sd\models\adetailer\penisV2.pt	models\adetailer	adetailer	=> LoadfromJson(filePath);		
model_base_caption_capfilt_large.pth	model_base_caption_capfilt_large.pth		model_base_caption_capfilt_large.pth	models	BLIP	D:\_Apps.AI.data\sd\models\BLIP\model_base_caption_capfilt_large.pth	models\BLIP	BLIP	=> LoadfromJson(filePath);		
clip_l.safetensors	clip_l.safetensors		clip_l.safetensors	models	CLIP	D:\_Apps.AI.data\sd\models\CLIP\clip_l.safetensors	models\CLIP	CLIP	=> LoadfromJson(filePath);		
llava_llama3_fp16.safetensors	llava_llama3_fp16.safetensors		llava_llama3_fp16.safetensors	models	CLIP	D:\_Apps.AI.data\sd\models\CLIP\llava_llama3_fp16.safetensors	models\CLIP	CLIP	=> LoadfromJson(filePath);		
llava_llama3_fp8_scaled.safetensors	llava_llama3_fp8_scaled.safetensors		llava_llama3_fp8_scaled.safetensors	models	CLIP	D:\_Apps.AI.data\sd\models\CLIP\llava_llama3_fp8_scaled.safetensors	models\CLIP	CLIP	=> LoadfromJson(filePath);		
oldt5_xxl_fp8_e4m3fn_scaled.safetensors	oldt5_xxl_fp8_e4m3fn_scaled.safetensors		oldt5_xxl_fp8_e4m3fn_scaled.safetensors	models	CLIP	D:\_Apps.AI.data\sd\models\CLIP\oldt5_xxl_fp8_e4m3fn_scaled.safetensors	models\CLIP	CLIP	=> LoadfromJson(filePath);		
t5xxl_fp16.safetensors	t5xxl_fp16.safetensors		t5xxl_fp16.safetensors	models	CLIP	D:\_Apps.AI.data\sd\models\CLIP\t5xxl_fp16.safetensors	models\CLIP	CLIP	=> LoadfromJson(filePath);		
t5xxl_fp8_e4m3fn.safetensors	t5xxl_fp8_e4m3fn.safetensors		t5xxl_fp8_e4m3fn.safetensors	models	CLIP	D:\_Apps.AI.data\sd\models\CLIP\t5xxl_fp8_e4m3fn.safetensors	models\CLIP	CLIP	=> LoadfromJson(filePath);		
t5xxl_fp8_e4m3fn_scaled.safetensors	t5xxl_fp8_e4m3fn_scaled.safetensors		t5xxl_fp8_e4m3fn_scaled.safetensors	models	CLIP	D:\_Apps.AI.data\sd\models\CLIP\t5xxl_fp8_e4m3fn_scaled.safetensors	models\CLIP	CLIP	=> LoadfromJson(filePath);		
codeformer-v0.1.0.pth	codeformer-v0.1.0.pth		codeformer-v0.1.0.pth	models	Codeformer	D:\_Apps.AI.data\sd\models\Codeformer\codeformer-v0.1.0.pth	models\Codeformer	Codeformer	=> LoadfromJson(filePath);		
control_v11e_sd15_ip2p.pth	control_v11e_sd15_ip2p.pth		control_v11e_sd15_ip2p.pth	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11e_sd15_ip2p.pth	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
control_v11e_sd15_shuffle.pth	control_v11e_sd15_shuffle.pth		control_v11e_sd15_shuffle.pth	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11e_sd15_shuffle.pth	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
control_v11f1e_sd15_tile.pth	control_v11f1e_sd15_tile.pth		control_v11f1e_sd15_tile.pth	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11f1e_sd15_tile.pth	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
control_v11f1p_sd15_depth.pth	control_v11f1p_sd15_depth.pth		control_v11f1p_sd15_depth.pth	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11f1p_sd15_depth.pth	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
control_v11p_sd15s2_lineart_anime.pth	control_v11p_sd15s2_lineart_anime.pth		control_v11p_sd15s2_lineart_anime.pth	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11p_sd15s2_lineart_anime.pth	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
control_v11p_sd15_canny.pth	control_v11p_sd15_canny.pth		control_v11p_sd15_canny.pth	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11p_sd15_canny.pth	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
control_v11p_sd15_inpaint.pth	control_v11p_sd15_inpaint.pth		control_v11p_sd15_inpaint.pth	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11p_sd15_inpaint.pth	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
control_v11p_sd15_lineart.pth	control_v11p_sd15_lineart.pth		control_v11p_sd15_lineart.pth	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11p_sd15_lineart.pth	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
control_v11p_sd15_mlsd.pth	control_v11p_sd15_mlsd.pth		control_v11p_sd15_mlsd.pth	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11p_sd15_mlsd.pth	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
control_v11p_sd15_normalbae.pth	control_v11p_sd15_normalbae.pth		control_v11p_sd15_normalbae.pth	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11p_sd15_normalbae.pth	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
control_v11p_sd15_openpose.pth	control_v11p_sd15_openpose.pth		control_v11p_sd15_openpose.pth	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11p_sd15_openpose.pth	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
control_v11p_sd15_scribble.pth	control_v11p_sd15_scribble.pth		control_v11p_sd15_scribble.pth	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11p_sd15_scribble.pth	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
control_v11p_sd15_seg.pth	control_v11p_sd15_seg.pth		control_v11p_sd15_seg.pth	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11p_sd15_seg.pth	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
control_v11p_sd15_softedge.pth	control_v11p_sd15_softedge.pth		control_v11p_sd15_softedge.pth	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11p_sd15_softedge.pth	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
control_v11p_sd21_canny.safetensors	control_v11p_sd21_canny.safetensors		control_v11p_sd21_canny.safetensors	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11p_sd21_canny.safetensors	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
control_v11p_sd21_color.safetensors	control_v11p_sd21_color.safetensors		control_v11p_sd21_color.safetensors	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11p_sd21_color.safetensors	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
control_v11p_sd21_depth.safetensors	control_v11p_sd21_depth.safetensors		control_v11p_sd21_depth.safetensors	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11p_sd21_depth.safetensors	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
control_v11p_sd21_lineart.safetensors	control_v11p_sd21_lineart.safetensors		control_v11p_sd21_lineart.safetensors	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11p_sd21_lineart.safetensors	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
control_v11p_sd21_normalbae.safetensors	control_v11p_sd21_normalbae.safetensors		control_v11p_sd21_normalbae.safetensors	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11p_sd21_normalbae.safetensors	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
control_v11p_sd21_openpose.safetensors	control_v11p_sd21_openpose.safetensors		control_v11p_sd21_openpose.safetensors	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11p_sd21_openpose.safetensors	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
control_v11p_sd21_openposev2.safetensors	control_v11p_sd21_openposev2.safetensors		control_v11p_sd21_openposev2.safetensors	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11p_sd21_openposev2.safetensors	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
control_v11p_sd21_scribble.safetensors	control_v11p_sd21_scribble.safetensors		control_v11p_sd21_scribble.safetensors	models	ControlNet	D:\_Apps.AI.data\sd\models\ControlNet\control_v11p_sd21_scribble.safetensors	models\ControlNet	ControlNet	=> LoadfromJson(filePath);		
ESRGAN_4x.pth	ESRGAN_4x.pth		ESRGAN_4x.pth	models	ESRGAN	D:\_Apps.AI.data\sd\models\ESRGAN\ESRGAN_4x.pth	models\ESRGAN	ESRGAN	=> LoadfromJson(filePath);		
detection_Resnet50_Final.pth	detection_Resnet50_Final.pth		detection_Resnet50_Final.pth	models	GFPGAN	D:\_Apps.AI.data\sd\models\GFPGAN\detection_Resnet50_Final.pth	models\GFPGAN	GFPGAN	=> LoadfromJson(filePath);		
GFPGANv1.4.pth	GFPGANv1.4.pth		GFPGANv1.4.pth	models	GFPGAN	D:\_Apps.AI.data\sd\models\GFPGAN\GFPGANv1.4.pth	models\GFPGAN	GFPGAN	=> LoadfromJson(filePath);		
parsing_parsenet.pth	parsing_parsenet.pth		parsing_parsenet.pth	models	GFPGAN	D:\_Apps.AI.data\sd\models\GFPGAN\parsing_parsenet.pth	models\GFPGAN	GFPGAN	=> LoadfromJson(filePath);		
model.ckpt	model.ckpt		model.ckpt	models	LDSR	D:\_Apps.AI.data\sd\models\LDSR\model.ckpt	models\LDSR	LDSR	=> LoadfromJson(filePath);		
thermal vision style v3.safetensors	thermal vision style v3.safetensors		thermal vision style v3.safetensors	models	Lora	D:\_Apps.AI.data\sd\models\Lora\thermal vision style v3.safetensors	models\Lora	Lora	=> LoadfromJson(filePath);		
